"","BLUE","COH","GREEN","NOI","PHYS","PLEA","PPHQ3","PPHQ4","PSS","SAFE"
"BLUE","1.00","-0.04","0.59***","0.02","","-0.12**","","","","-0.07*"
"COH","-0.04","1.00","-0.05","-0.45***","","0.56***","","","","0.41***"
"GREEN","0.59***","-0.05","1.00","0.02","","-0.20***","","","","-0.13***"
"NOI","0.02","-0.45***","0.02","1.00","","-0.43***","","","","-0.31***"
"PHYS","","","","","0.95***","","","","-0.10***",""
"PLEA","-0.12**","0.56***","-0.20***","-0.43***","","1.00","","","","0.64***"
"PPHQ3","","","","","","","0.46***","0.23***","",""
"PPHQ4","","","","","","","0.23***","0.37***","",""
"PSS","","","","","-0.10***","","","","0.80***",""
"SAFE","-0.07*","0.41***","-0.13***","-0.31***","","0.64***","","","","1.00"
