"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"2","BLUE.BY.BEACH","0.20***","[ 0.16,  0.24]","0.21***","[ 0.17,  0.25]",,
"4","BLUE.BY.LAKE","0.71***","[ 0.65,  0.76]","0.73***","[ 0.68,  0.78]",,
"6","BLUE.BY.RIVER","0.48***","[ 0.43,  0.53]","0.48***","[ 0.43,  0.52]",,
"8","BLUE.WITH.COH","-0.04","[-0.11,  0.02]","-0.06*","[-0.11, -0.01]",,
"10","BLUE.WITH.GREEN","0.59***","[ 0.51,  0.67]","0.56***","[ 0.50,  0.62]",,
"12","BLUE.WITH.PLEA","-0.12**","[-0.19, -0.04]","-0.13***","[-0.18, -0.07]",,
"14","BLUE.WITH.SAFE","-0.07*","[-0.15, -0.00]","-0.09**","[-0.14, -0.04]",,
"16","COH.BY.PCOH1","0.83***","[ 0.81,  0.85]","0.83***","[ 0.82,  0.85]",,
"18","COH.BY.PCOH2","0.86***","[ 0.84,  0.89]","0.87***","[ 0.85,  0.88]",,
"20","COH.BY.PCOH3","0.67***","[ 0.64,  0.69]","0.70***","[ 0.68,  0.73]",,
"22","GREEN.BY.PGREEN1","0.65***","[ 0.60,  0.70]","0.67***","[ 0.62,  0.72]",,
"24","GREEN.BY.PGREEN2","0.58***","[ 0.54,  0.63]","0.60***","[ 0.55,  0.64]",,
"26","GREEN.WITH.COH","-0.05","[-0.11,  0.01]","-0.14***","[-0.19, -0.09]",,
"28","GREEN.WITH.PLEA","-0.20***","[-0.27, -0.12]","-0.20***","[-0.25, -0.14]",,
"30","GREEN.WITH.SAFE","-0.13***","[-0.20, -0.06]","-0.14***","[-0.19, -0.09]",,
"32","Intercepts.BEACH","6.93***","[ 6.28,  7.59]","7.25***","[ 6.64,  7.86]",,
"34","Intercepts.INSIDE","2.12***","[ 2.07,  2.18]","2.20***","[ 2.16,  2.25]",,
"36","Intercepts.LAKE","2.72***","[ 2.64,  2.80]","2.80***","[ 2.73,  2.87]",,
"38","Intercepts.OUTSIDE","2.37***","[ 2.31,  2.43]","2.40***","[ 2.35,  2.45]",,
"40","Intercepts.PCOH1","4.46***","[ 4.33,  4.58]","4.46***","[ 4.35,  4.58]",,
"42","Intercepts.PCOH2","4.94***","[ 4.80,  5.07]","4.96***","[ 4.83,  5.09]",,
"44","Intercepts.PCOH3","4.64***","[ 4.48,  4.79]","4.90***","[ 4.76,  5.05]",,
"46","Intercepts.PGREEN1","3.49***","[ 3.38,  3.61]","3.62***","[ 3.52,  3.72]",,
"48","Intercepts.PGREEN2","2.89***","[ 2.81,  2.98]","2.98***","[ 2.92,  3.04]",,
"50","Intercepts.PHQ","0.00","","0.00","",,
"52","Intercepts.PHYS","2.13***","[ 1.81,  2.46]","2.06***","[ 1.80,  2.31]",,
"54","Intercepts.PPHQ1","0.97***","[ 0.83,  1.12]","1.27***","[ 1.09,  1.46]",,
"56","Intercepts.PPHQ2","1.01***","[ 0.86,  1.16]","1.27***","[ 1.09,  1.46]",,
"58","Intercepts.PPHQ3","1.55***","[ 1.41,  1.68]","1.81***","[ 1.67,  1.96]",,
"60","Intercepts.PPHQ4","1.19***","[ 1.05,  1.33]","1.43***","[ 1.27,  1.60]",,
"62","Intercepts.PPHQ5","1.23***","[ 1.09,  1.36]","1.43***","[ 1.28,  1.57]",,
"64","Intercepts.PPLEA1","5.35***","[ 5.16,  5.54]","5.61***","[ 5.46,  5.76]",,
"66","Intercepts.PPLEA2","4.84***","[ 4.68,  4.99]","4.78***","[ 4.64,  4.93]",,
"68","Intercepts.PPSS1","2.54***","[ 2.38,  2.69]","2.62***","[ 2.47,  2.77]",,
"70","Intercepts.PPSS2","2.67***","[ 2.51,  2.83]","2.80***","[ 2.64,  2.95]",,
"72","Intercepts.PPSS3","2.94***","[ 2.79,  3.10]","3.12***","[ 2.96,  3.27]",,
"74","Intercepts.PPSS4","3.29***","[ 3.12,  3.46]","3.40***","[ 3.24,  3.57]",,
"76","Intercepts.PPSS5","2.08***","[ 1.93,  2.23]","2.17***","[ 2.02,  2.32]",,
"78","Intercepts.PSAFE1","4.76***","[ 4.64,  4.88]","4.79***","[ 4.67,  4.90]",,
"80","Intercepts.PSAFE2","5.19***","[ 5.03,  5.35]","5.37***","[ 5.22,  5.52]",,
"82","Intercepts.PSAFE3","5.51***","[ 5.31,  5.70]","5.59***","[ 5.41,  5.76]",,
"84","Intercepts.PSS","0.00","","0.00","",,
"86","Intercepts.RIVER","2.70***","[ 2.62,  2.78]","2.68***","[ 2.61,  2.75]",,
"88","Intercepts.TRAFFIC","2.80***","[ 2.73,  2.88]","2.76***","[ 2.70,  2.81]",,
"90","Means.BLUE","0.00","","0.00","",,
"92","Means.COH","0.00","","0.00","",,
"94","Means.GREEN","0.00","","0.00","",,
"96","Means.NOI","0.00","","0.00","",,
"98","Means.PLEA","0.00","","0.00","",,
"100","Means.SAFE","0.00","","0.00","",,
"170","NOI.BY.INSIDE","0.83***","[ 0.80,  0.86]","0.86***","[ 0.84,  0.89]",,
"172","NOI.BY.OUTSIDE","0.75***","[ 0.72,  0.78]","0.76***","[ 0.74,  0.79]",,
"174","NOI.BY.TRAFFIC","0.12***","[ 0.09,  0.15]","0.12***","[ 0.09,  0.15]",,
"176","NOI.WITH.BLUE","0.02","[-0.05,  0.10]","0.06*","[ 0.01,  0.11]",,
"178","NOI.WITH.COH","-0.45***","[-0.50, -0.40]","-0.49***","[-0.53, -0.45]",,
"180","NOI.WITH.GREEN","0.02","[-0.04,  0.09]","0.08**","[ 0.02,  0.13]",,
"182","NOI.WITH.PLEA","-0.43***","[-0.49, -0.37]","-0.49***","[-0.54, -0.45]",,
"184","NOI.WITH.SAFE","-0.31***","[-0.37, -0.26]","-0.38***","[-0.43, -0.34]",,
"186","PHQ.BY.PPHQ1","0.82***","[ 0.80,  0.84]","0.84***","[ 0.83,  0.86]",,
"188","PHQ.BY.PPHQ2","0.84***","[ 0.83,  0.86]","0.84***","[ 0.82,  0.85]",,
"190","PHQ.BY.PPHQ3","0.73***","[ 0.71,  0.75]","0.68***","[ 0.66,  0.70]",,
"192","PHQ.BY.PPHQ4","0.79***","[ 0.77,  0.81]","0.75***","[ 0.73,  0.77]",,
"194","PHQ.BY.PPHQ5","0.73***","[ 0.71,  0.76]","0.67***","[ 0.64,  0.69]",,
"196","PHQ.ON.AGE","0.04","[-0.00,  0.09]","-0.02","[-0.05,  0.01]","-0.01**","[-0.01, -0.00]"
