"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"2","BLUE.BY.BEACH","0.11***","[ 0.09,  0.13]","0.11***","[ 0.09,  0.13]",,
"4","BLUE.BY.LAKE","0.72***","[ 0.67,  0.77]","0.72***","[ 0.67,  0.77]",,
"6","BLUE.BY.RIVER","0.48***","[ 0.43,  0.52]","0.48***","[ 0.43,  0.52]",,
"8","BLUE.WITH.COH","-0.04","[-0.11,  0.02]","-0.06*","[-0.11, -0.01]",,
"10","BLUE.WITH.GREEN","0.59***","[ 0.51,  0.67]","0.56***","[ 0.50,  0.62]",,
"12","BLUE.WITH.PLEA","-0.12**","[-0.19, -0.04]","-0.13***","[-0.18, -0.07]",,
"14","BLUE.WITH.SAFE","-0.07*","[-0.15, -0.00]","-0.09**","[-0.14, -0.04]",,
"16","COH.BY.PCOH1","0.67***","[ 0.65,  0.69]","0.67***","[ 0.65,  0.69]",,
"18","COH.BY.PCOH2","0.66***","[ 0.64,  0.67]","0.66***","[ 0.64,  0.67]",,
"20","COH.BY.PCOH3","0.56***","[ 0.54,  0.59]","0.56***","[ 0.54,  0.59]",,
"22","GREEN.BY.PGREEN1","0.41***","[ 0.38,  0.44]","0.41***","[ 0.38,  0.44]",,
"24","GREEN.BY.PGREEN2","0.40***","[ 0.36,  0.43]","0.40***","[ 0.36,  0.43]",,
"26","GREEN.WITH.COH","-0.05","[-0.11,  0.01]","-0.14***","[-0.19, -0.09]",,
"28","GREEN.WITH.PLEA","-0.20***","[-0.27, -0.12]","-0.20***","[-0.25, -0.14]",,
"30","GREEN.WITH.SAFE","-0.13***","[-0.20, -0.06]","-0.14***","[-0.19, -0.09]",,
"32","Intercepts.BEACH","3.80***","[ 3.78,  3.83]","3.80***","[ 3.78,  3.83]",,
"34","Intercepts.INSIDE","1.64***","[ 1.61,  1.66]","1.64***","[ 1.61,  1.66]",,
"36","Intercepts.LAKE","2.76***","[ 2.73,  2.80]","2.76***","[ 2.73,  2.80]",,
"38","Intercepts.OUTSIDE","1.78***","[ 1.76,  1.80]","1.78***","[ 1.76,  1.80]",,
"40","Intercepts.PCOH1","3.58***","[ 3.55,  3.60]","3.58***","[ 3.55,  3.60]",,
"42","Intercepts.PCOH2","3.74***","[ 3.72,  3.76]","3.74***","[ 3.72,  3.76]",,
"44","Intercepts.PCOH3","3.93***","[ 3.91,  3.95]","3.93***","[ 3.91,  3.95]",,
"46","Intercepts.PGREEN1","2.22***","[ 2.20,  2.24]","2.22***","[ 2.20,  2.24]",,
"48","Intercepts.PGREEN2","1.97***","[ 1.95,  1.99]","1.97***","[ 1.95,  1.99]",,
"50","Intercepts.PHQ","0.00","","0.00","",,
"52","Intercepts.PHYS","4.70***","[ 4.00,  5.41]","4.54***","[ 3.99,  5.09]",,
"54","Intercepts.PPHQ1","0.62***","[ 0.53,  0.72]","0.62***","[ 0.53,  0.72]",,
"56","Intercepts.PPHQ2","0.70***","[ 0.59,  0.80]","0.70***","[ 0.59,  0.80]",,
"58","Intercepts.PPHQ3","1.41***","[ 1.29,  1.53]","1.41***","[ 1.29,  1.53]",,
"60","Intercepts.PPHQ4","0.97***","[ 0.86,  1.09]","0.97***","[ 0.86,  1.09]",,
"62","Intercepts.PPHQ5","1.05***","[ 0.94,  1.16]","1.05***","[ 0.94,  1.16]",,
"64","Intercepts.PPLEA1","3.26***","[ 3.24,  3.28]","3.26***","[ 3.24,  3.28]",,
"66","Intercepts.PPLEA2","3.16***","[ 3.13,  3.19]","3.16***","[ 3.13,  3.19]",,
"68","Intercepts.PPSS1","2.13***","[ 2.01,  2.26]","2.13***","[ 2.01,  2.26]",,
"70","Intercepts.PPSS2","2.14***","[ 2.02,  2.26]","2.14***","[ 2.02,  2.26]",,
"72","Intercepts.PPSS3","2.31***","[ 2.20,  2.42]","2.31***","[ 2.20,  2.42]",,
"74","Intercepts.PPSS4","2.57***","[ 2.45,  2.69]","2.57***","[ 2.45,  2.69]",,
"76","Intercepts.PPSS5","1.84***","[ 1.71,  1.97]","1.84***","[ 1.71,  1.97]",,
"78","Intercepts.PSAFE1","3.05***","[ 3.03,  3.07]","3.05***","[ 3.03,  3.07]",,
"80","Intercepts.PSAFE2","3.18***","[ 3.16,  3.20]","3.18***","[ 3.16,  3.20]",,
"82","Intercepts.PSAFE3","3.38***","[ 3.37,  3.40]","3.38***","[ 3.37,  3.40]",,
"84","Intercepts.PSS","0.00","","0.00","",,
"86","Intercepts.RIVER","2.69***","[ 2.65,  2.73]","2.69***","[ 2.65,  2.73]",,
"88","Intercepts.TRAFFIC","2.25***","[ 2.22,  2.28]","2.25***","[ 2.22,  2.28]",,
"90","Means.BLUE","0.00","","0.00","",,
"92","Means.COH","0.00","","0.00","",,
"94","Means.GREEN","0.00","","0.00","",,
"96","Means.NOI","0.00","","0.00","",,
"98","Means.PLEA","0.00","","0.00","",,
"100","Means.SAFE","0.00","","0.00","",,
"170","NOI.BY.INSIDE","0.64***","[ 0.61,  0.67]","0.64***","[ 0.61,  0.67]",,
"172","NOI.BY.OUTSIDE","0.57***","[ 0.54,  0.59]","0.57***","[ 0.54,  0.59]",,
"174","NOI.BY.TRAFFIC","0.10***","[ 0.07,  0.12]","0.10***","[ 0.07,  0.12]",,
"176","NOI.WITH.BLUE","0.02","[-0.05,  0.10]","0.06*","[ 0.01,  0.11]",,
"178","NOI.WITH.COH","-0.45***","[-0.50, -0.40]","-0.49***","[-0.53, -0.45]",,
"180","NOI.WITH.GREEN","0.02","[-0.04,  0.09]","0.08**","[ 0.02,  0.13]",,
"182","NOI.WITH.PLEA","-0.43***","[-0.49, -0.37]","-0.49***","[-0.54, -0.45]",,
"184","NOI.WITH.SAFE","-0.31***","[-0.37, -0.26]","-0.38***","[-0.43, -0.34]",,
"186","PHQ.BY.PPHQ1","0.26***","[ 0.24,  0.27]","0.26***","[ 0.24,  0.27]",,
"188","PHQ.BY.PPHQ2","0.29***","[ 0.27,  0.30]","0.29***","[ 0.27,  0.30]",,
"190","PHQ.BY.PPHQ3","0.33***","[ 0.31,  0.34]","0.33***","[ 0.31,  0.34]",,
"192","PHQ.BY.PPHQ4","0.32***","[ 0.30,  0.33]","0.32***","[ 0.30,  0.33]",,
"194","PHQ.BY.PPHQ5","0.31***","[ 0.29,  0.32]","0.31***","[ 0.29,  0.32]",,
"196","PHQ.ON.AGE","0.00","[-0.00,  0.01]","-0.00","[-0.01,  0.00]","-0.01**","[-0.01, -0.00]"
"198","PHQ.ON.BLUE","-0.06","[-0.36,  0.24]","-0.03","[-0.09,  0.03]","0.03","[-0.28,  0.34]"
"200","PHQ.ON.COH","-0.07","[-0.21,  0.07]","-0.07*","[-0.14, -0.01]","-0.00","[-0.16,  0.15]"
"202","PHQ.ON.DEP","0.06","[-0.13,  0.26]","-0.00","[-0.11,  0.11]","-0.07","[-0.28,  0.15]"
"204","PHQ.ON.EDUH","0.17","[-0.03,  0.37]","0.08","[-0.03,  0.20]","-0.08","[-0.31,  0.14]"
"206","PHQ.ON.EDUM","0.05","[-0.12,  0.23]","0.12","[-0.00,  0.25]","0.07","[-0.13,  0.28]"
"208","PHQ.ON.FRAG","0.00","[-0.03,  0.04]","-0.01","[-0.03,  0.01]","-0.02","[-0.06,  0.03]"
"210","PHQ.ON.GREEN","-0.02","[-0.33,  0.30]","0.05","[-0.02,  0.12]","0.06","[-0.26,  0.39]"
"212","PHQ.ON.HOUS2C","0.00","[-0.15,  0.16]","-0.02","[-0.11,  0.06]","-0.03","[-0.21,  0.15]"
"214","PHQ.ON.HOUSO","0.01","[-0.20,  0.22]","0.00","[-0.10,  0.10]","-0.00","[-0.23,  0.22]"
"216","PHQ.ON.HOUSSP","0.08","[-0.23,  0.40]","0.06","[-0.10,  0.23]","-0.02","[-0.37,  0.33]"
"218","PHQ.ON.INC2","-0.21","[-0.44,  0.01]","-0.16","[-0.35,  0.03]","0.05","[-0.24,  0.35]"
"220","PHQ.ON.INC3","-0.20","[-0.42,  0.01]","-0.20*","[-0.36, -0.04]","0.00","[-0.26,  0.27]"
"222","PHQ.ON.INC4","-0.12","[-0.35,  0.11]","-0.23**","[-0.40, -0.07]","-0.11","[-0.39,  0.17]"
"224","PHQ.ON.INC5","-0.11","[-0.31,  0.10]","-0.23**","[-0.39, -0.07]","-0.12","[-0.38,  0.13]"
