"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"1","COH.BY.PCOH1","0.83***","[ 0.80,  0.85]","0.83***","[ 0.81,  0.86]",,
"2","COH.BY.PCOH2","0.86***","[ 0.83,  0.89]","0.87***","[ 0.85,  0.89]",,
"3","COH.BY.PCOH3","0.68***","[ 0.64,  0.71]","0.72***","[ 0.69,  0.75]",,
"4","PSS.BY.PPSS1","0.81***","[ 0.79,  0.84]","0.81***","[ 0.78,  0.83]",,
"5","PSS.BY.PPSS2","0.82***","[ 0.79,  0.84]","0.83***","[ 0.81,  0.85]",,
"6","PSS.BY.PPSS3","0.81***","[ 0.79,  0.83]","0.81***","[ 0.80,  0.83]",,
"7","PSS.BY.PPSS4","0.85***","[ 0.83,  0.87]","0.84***","[ 0.82,  0.85]",,
"8","PSS.BY.PPSS5","0.79***","[ 0.77,  0.82]","0.79***","[ 0.77,  0.81]",,
"9","PHQ.BY.PPHQ1","0.81***","[ 0.78,  0.85]","0.85***","[ 0.83,  0.87]",,
"10","PHQ.BY.PPHQ2","0.82***","[ 0.79,  0.85]","0.82***","[ 0.79,  0.84]",,
"11","PHQ.BY.PPHQ3","0.73***","[ 0.71,  0.76]","0.68***","[ 0.64,  0.71]",,
"12","PHQ.BY.PPHQ4","0.77***","[ 0.75,  0.80]","0.72***","[ 0.69,  0.75]",,
"13","PHQ.BY.PPHQ5","0.72***","[ 0.68,  0.76]","0.66***","[ 0.62,  0.70]",,
"14","PLEA.BY.PPLEA1","0.56***","[ 0.52,  0.60]","0.58***","[ 0.54,  0.62]",,
"15","PLEA.BY.PPLEA2","0.81***","[ 0.77,  0.85]","0.79***","[ 0.76,  0.83]",,
"16","SAFE.BY.PSAFE1","0.85***","[ 0.82,  0.88]","0.85***","[ 0.82,  0.87]",,
"17","SAFE.BY.PSAFE2","0.72***","[ 0.69,  0.75]","0.75***","[ 0.72,  0.78]",,
"18","SAFE.BY.PSAFE3","0.71***","[ 0.67,  0.74]","0.71***","[ 0.68,  0.75]",,
"19","SAFE.BY.TRAFFIC","-0.42***","[-0.46, -0.38]","-0.41***","[-0.45, -0.37]",,
"20","GREEN.BY.PGREEN1","0.67***","[ 0.61,  0.73]","0.68***","[ 0.62,  0.74]",,
"21","GREEN.BY.PGREEN2","0.59***","[ 0.53,  0.65]","0.60***","[ 0.55,  0.65]",,
"22","BLUE.BY.RIVER","0.51***","[ 0.45,  0.57]","0.51***","[ 0.45,  0.57]",,
"23","BLUE.BY.LAKE","0.69***","[ 0.62,  0.75]","0.70***","[ 0.64,  0.77]",,
"24","BLUE.BY.BEACH","0.19***","[ 0.13,  0.25]","0.19***","[ 0.14,  0.25]",,
"25","NOI.BY.TRAFFIC","0.11***","[ 0.06,  0.16]","0.11***","[ 0.06,  0.15]",,
"26","NOI.BY.INSIDE","0.82***","[ 0.77,  0.86]","0.84***","[ 0.81,  0.88]",,
"27","NOI.BY.OUTSIDE","0.77***","[ 0.73,  0.82]","0.78***","[ 0.74,  0.81]",,
"28","PHQ.ON.NOI","0.05","[-0.02,  0.13]","0.06*","[ 0.00,  0.11]","-0.02","[-0.20,  0.16]"
"29","PHQ.ON.PLEA","-0.07","[-0.22,  0.08]","0.01","[-0.07,  0.10]","0.16","[-0.18,  0.51]"
"30","PHQ.ON.SAFE","0.16**","[ 0.06,  0.26]","0.02","[-0.05,  0.08]","-0.30*","[-0.53, -0.06]"
